health_region_code,name,uf,capacity,legacy_suicide_asmr,corrected_suicide_asmr,delta_suicide_asmr,legacy_suicide_percentile,corrected_suicide_percentile,delta_suicide_percentile,legacy_need,corrected_need,delta_need,legacy_mismatch,corrected_mismatch,delta_mismatch,legacy_lisa,corrected_lisa,legacy_radar_families,corrected_radar_families,flags
22008,Vale do Canindé,PI,0.4337899543378996,13.196149470836811,13.442742663857388,0.24659319302057625,0.9223744292237442,0.9178082191780822,-0.004566210045662045,0.6095890410958904,0.6073059360730594,-0.0022831050228310223,0.1757990867579908,0.1735159817351598,-0.0022831050228309946,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
22009,Vale do Rio Guaribas,PI,0.2595129375951294,14.951393594965037,15.105577488146812,0.1541838931817754,0.9680365296803652,0.9680365296803652,0.0,0.6061643835616438,0.6061643835616438,0.0,0.3466514459665144,0.3466514459665144,0.0,not_significant,not_significant,MISMATCH_MARKED_POSITIVE;CAPACITY_COMPONENT_LOW,MISMATCH_MARKED_POSITIVE;CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
22010,Vale do Sambito,PI,0.6773211567732117,13.80629059383614,13.868551470174111,0.06226087633797128,0.9452054794520548,0.9452054794520548,0.0,0.5776255707762556,0.5776255707762556,0.0,-0.099695585996956,-0.09969558599695605,-5.551115123125783e-17,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
22011,Vale dos Rios Piauí e Itaueiras,PI,0.3949771689497716,11.334014910928197,11.687721604103718,0.3537066931755213,0.7990867579908676,0.8242009132420092,0.02511415525114158,0.497716894977169,0.5102739726027398,0.01255707762557079,0.1027397260273973,0.11529680365296818,0.012557077625570887,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
22012,Chapada Vale do Rio Itaim,PI,0.5920852359208523,15.42913002247082,15.499130183625514,0.07000016115469343,0.9726027397260274,0.9703196347031964,-0.0022831050228310223,0.6552511415525114,0.654109589041096,-0.0011415525114154557,0.0631659056316591,0.06202435312024368,-0.001141552511415414,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,
23001,1ª RS Fortaleza,CE,0.4969558599695586,6.154516409119872,6.208337636084081,0.053821226964208435,0.2146118721461187,0.2100456621004566,-0.0045662100456621,0.4897260273972602,0.4874429223744292,-0.002283105022830967,-0.0072298325722984,-0.00951293759512939,-0.0022831050228309894,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,
23011,5ª  RS Sobral,CE,0.6400304414003045,9.51274469263322,9.6202305826824,0.10748589004917974,0.6027397260273972,0.6027397260273972,0.0,0.5,0.5,0.0,-0.1400304414003045,-0.14003044140030452,-2.7755575615628914e-17,not_significant,not_significant,,,
23023,2ª RS Cariri,CE,0.6887366818873669,10.281568263827513,10.391975265570775,0.1104070017432619,0.678082191780822,0.678082191780822,0.0,0.5342465753424658,0.5342465753424658,0.0,-0.1544901065449011,-0.15449010654490114,-2.7755575615628914e-17,not_significant,not_significant,,,
23024,3ª RS Sertão Central,CE,0.6659056316590564,10.83949564041604,10.955722342939403,0.1162267025233632,0.7420091324200914,0.7465753424657534,0.004566210045662045,0.7180365296803652,0.7203196347031964,0.0022831050228311334,0.0521308980213088,0.054414003044140014,0.0022831050228312166,not_significant,not_significant,,,
23025,4ª RS Litoral Leste/Jaguaribe,CE,0.4718417047184171,8.955931377514819,9.084284187908047,0.12835281039322766,0.545662100456621,0.545662100456621,0.0,0.5513698630136986,0.5513698630136986,0.0,0.0795281582952815,0.07952815829528154,4.163336342344337e-17,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
24001,1ª Região de Saúde - São José de Mipibu,RN,0.4216133942161339,5.381549518989007,5.38343240231149,0.0018828833224828756,0.1347031963470319,0.13013698630136986,-0.004566210045662045,0.3721461187214612,0.3698630136986301,-0.002283105022831078,-0.0494672754946727,-0.0517503805175038,-0.0022831050228311056,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
24002,2ª Região de Saúde - Mossoró,RN,0.5068493150684932,8.890059695583135,8.965277773479349,0.07521807789621349,0.5319634703196348,0.5319634703196348,0.0,0.591324200913242,0.591324200913242,0.0,0.0844748858447488,0.08447488584474883,2.7755575615628914e-17,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
24003,3ª Região de Saúde - João Câmara,RN,0.5098934550989346,5.487945783838891,5.517638811435533,0.029693027596641386,0.1415525114155251,0.13926940639269406,-0.00228310502283105,0.3984018264840182,0.3972602739726027,-0.0011415525114154557,-0.1114916286149163,-0.11263318112633186,-0.0011415525114155667,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
24004,4ª Região de Saúde - Caicó,RN,0.5304414003044141,11.455795931753268,11.526620431762796,0.07082450000952711,0.815068493150685,0.8105022831050228,-0.004566210045662156,0.5730593607305936,0.5707762557077626,-0.0022831050228310223,0.0426179604261794,0.04033485540334847,-0.002283105022830932,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
24005,5ª Região de Saúde - Santa Cruz,RN,0.4703196347031963,6.272557747189603,6.312206813021327,0.039649065831724783,0.2214611872146118,0.22146118721461186,5.551115123125783e-17,0.3584474885844749,0.3584474885844749,0.0,-0.1118721461187214,-0.11187214611872143,-2.7755575615628914e-17,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
24006,6ª Região de Saúde - Pau dos Ferros,RN,0.4307458143074581,9.6282985476278,9.686215509532031,0.057916961904231457,0.6118721461187214,0.6118721461187214,0.0,0.4623287671232876,0.46232876712328763,5.551115123125783e-17,0.0315829528158295,0.03158295281582951,1.3877787807814457e-17,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
24007,7ª Região de Saúde - Metropolitana,RN,0.5776255707762558,5.771245460069051,5.868071329093918,0.09682586902486712,0.1735159817351598,0.1780821917808219,0.0045662100456621,0.4611872146118721,0.4634703196347032,0.002283105022831078,-0.1164383561643836,-0.11415525114155256,0.0022831050228310362,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,
24008,8ª Região de Saúde - Açu,RN,0.2047184170471841,5.625270133490531,5.627238289182761,0.001968155692229523,0.1621004566210045,0.1552511415525114,-0.006849315068493095,0.1837899543378995,0.18036529680365296,-0.0034246575342465335,-0.0209284627092846,-0.024353120243531146,-0.003424657534246544,not_significant,not_significant,CAPACITY_LOW;CAPACITY_COMPONENT_LOW,CAPACITY_LOW;CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
25001,1ª Região Mata Atlântica,PB,0.4604261796042617,5.919251147933821,5.976717516395642,0.05746636846182085,0.1872146118721461,0.18493150684931506,-0.00228310502283105,0.319634703196347,0.3184931506849315,-0.0011415525114155112,-0.1407914764079147,-0.14193302891933018,-0.0011415525114154834,low-low,low-low,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
25002,2ª Região,PB,0.6035007610350075,4.767043931375004,4.791511921744271,0.024467990369267056,0.0844748858447488,0.0776255707762557,-0.006849315068493095,0.2762557077625571,0.2728310502283105,-0.003424657534246589,-0.3272450532724504,-0.330669710806697,-0.003424657534246589,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
25003,3ª Região,PB,0.4832572298325723,9.917672351134732,9.991446655533048,0.07377430439831656,0.6461187214611872,0.639269406392694,-0.006849315068493178,0.7557077625570776,0.752283105022831,-0.003424657534246589,0.2724505327245053,0.2690258751902587,-0.003424657534246589,not_significant,not_significant,NEED_HIGH;MISMATCH_MARKED_POSITIVE,NEED_HIGH;MISMATCH_MARKED_POSITIVE,ZERO_REGISTERED_BEDS
25004,4ª Região,PB,0.576103500761035,10.504237987799424,10.64254179697951,0.13830380918008522,0.7100456621004566,0.7146118721461188,0.004566210045662156,0.6655251141552512,0.6678082191780822,0.0022831050228310223,0.0894216133942161,0.09170471841704719,0.0022831050228310917,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
