health_region_code,band,person_years,deaths
21010,10,33276,2
21010,11,30703,3
21010,12,26368,2
21010,13,20827,0
21010,14,16611,1
21010,15,12414,1
21010,16,13607,0
21011,0,91546,0
21011,1,98594,1
21011,2,106629,1
21011,3,112332,0
21011,4,102381,3
21011,5,92979,6
21011,6,91096,5
21011,7,93732,4
21011,8,84963,4
21011,9,69399,3
21011,10,59039,3
21011,11,51638,1
21011,12,44491,3
21011,13,36094,4
21011,14,27453,1
21011,15,20050,1
21011,16,24075,4
21012,0,63288,0
21012,1,67457,0
21012,2,72850,0
21012,3,76159,0
21012,4,69277,5
21012,5,64879,11
21012,6,61855,9
21012,7,63296,4
21012,8,60431,4
21012,9,50371,7
21012,10,42723,3
21012,11,38952,3
21012,12,33266,4
21012,13,26891,5
21012,14,22142,1
21012,15,16169,1
21012,16,17366,2
21013,0,71419,0
21013,1,76023,0
21013,2,84160,2
21013,3,90937,0
21013,4,79227,5
21013,5,72207,3
21013,6,69130,4
21013,7,68232,5
21013,8,61477,3
21013,9,48128,4
21013,10,39283,4
21013,11,33377,1
21013,12,27785,3
21013,13,22201,1
21013,14,17069,0
21013,15,11780,0
21013,16,14178,0
21014,0,84653,0
21014,1,90464,0
21014,2,100378,0
21014,3,107292,4
21014,4,93570,6
21014,5,81950,8
21014,6,77173,4
21014,7,80714,3
21014,8,76235,5
21014,9,61010,2
21014,10,49771,3
21014,11,43372,4
21014,12,37146,4
21014,13,30958,4
21014,14,24421,3
21014,15,17064,1
21014,16,18929,1
21015,0,52873,0
21015,1,57223,0
21015,2,61582,0
21015,3,64871,4
21015,4,59575,6
21015,5,56448,10
21015,6,53398,11
21015,7,52813,5
21015,8,49236,5
21015,9,41477,6
21015,10,35443,3
21015,11,33789,6
21015,12,29244,2
21015,13,23390,6
21015,14,18536,2
21015,15,13377,2
21015,16,15475,2
21016,0,290748,0
21016,1,314305,0
21016,2,323621,7
21016,3,353230,14
21016,4,394939,30
21016,5,411069,26
21016,6,402011,28
21016,7,410170,23
21016,8,380163,26
21016,9,305858,19
21016,10,262598,15
21016,11,222909,19
21016,12,179595,13
21016,13,136695,8
21016,14,95454,7
21016,15,62776,2
21016,16,68348,4
21017,0,61100,0
21017,1,62177,0
21017,2,63876,0
21017,3,67489,6
21017,4,65875,4
21017,5,61614,6
21017,6,60648,10
21017,7,62243,7
21017,8,58043,9
21017,9,47111,6
21017,10,38722,3
21017,11,34543,4
21017,12,28170,5
21017,13,22663,5
21017,14,17453,1
21017,15,11886,2
21017,16,13325,1
21018,0,61548,0
21018,1,68093,0
21018,2,69297,2
21018,3,71595,0
21018,4,63727,3
21018,5,58994,4
21018,6,58320,2
21018,7,61531,6
21018,8,57808,4
21018,9,46967,6
21018,10,38997,3
21018,11,34102,2
21018,12,29473,2
21018,13,24070,1
21018,14,18580,0
21018,15,13277,1
21018,16,16239,1
21019,0,69072,0
21019,1,71922,0
21019,2,76197,4
21019,3,79699,8
21019,4,71327,13
21019,5,64393,5
21019,6,61941,2
21019,7,62199,7
21019,8,55671,6
21019,9,43089,3
21019,10,35700,5
21019,11,31987,2
21019,12,26812,2
21019,13,21307,0
21019,14,16604,0
21019,15,11987,1
21019,16,12567,1
22001,0,29153,0
22001,1,31714,0
22001,2,34522,0
22001,3,38538,5
22001,4,37231,10
22001,5,34136,6
22001,6,34132,2
22001,7,37083,8
22001,8,37030,12
22001,9,32895,3
22001,10,29520,4
22001,11,27506,5
22001,12,23856,2
22001,13,19735,3
22001,14,16152,1
22001,15,11696,4
22001,16,14733,3
22002,0,44590,0
22002,1,44755,0
