origin_region,destination_region,admissions,flow_version,contribution_id
21001,21016,90,MDB_HOSPITAL_FLOW_METHOD_1.0,944
21006,21016,5,MDB_HOSPITAL_FLOW_METHOD_1.0,945
21016,21016,57,MDB_HOSPITAL_FLOW_METHOD_1.0,947
21005,21016,11,MDB_HOSPITAL_FLOW_METHOD_1.0,948
21002,21016,22,MDB_HOSPITAL_FLOW_METHOD_1.0,950
21007,21016,97,MDB_HOSPITAL_FLOW_METHOD_1.0,952
21014,21014,123,MDB_HOSPITAL_FLOW_METHOD_1.0,953
21014,21016,67,MDB_HOSPITAL_FLOW_METHOD_1.0,954
21003,21016,19,MDB_HOSPITAL_FLOW_METHOD_1.0,955
21008,21008,45,MDB_HOSPITAL_FLOW_METHOD_1.0,958
21008,21016,12,MDB_HOSPITAL_FLOW_METHOD_1.0,959
21009,21009,5,MDB_HOSPITAL_FLOW_METHOD_1.0,960
21009,21016,40,MDB_HOSPITAL_FLOW_METHOD_1.0,961
21011,21011,8,MDB_HOSPITAL_FLOW_METHOD_1.0,965
21011,21016,16,MDB_HOSPITAL_FLOW_METHOD_1.0,966
21006,21016,54,MDB_HOSPITAL_FLOW_METHOD_1.0,969
21006,22005,9,MDB_HOSPITAL_FLOW_METHOD_1.0,970
21004,21016,41,MDB_HOSPITAL_FLOW_METHOD_1.0,972
21009,21016,62,MDB_HOSPITAL_FLOW_METHOD_1.0,973
21013,21016,29,MDB_HOSPITAL_FLOW_METHOD_1.0,975
21002,21002,70,MDB_HOSPITAL_FLOW_METHOD_1.0,976
21002,21016,131,MDB_HOSPITAL_FLOW_METHOD_1.0,977
21002,22004,14,MDB_HOSPITAL_FLOW_METHOD_1.0,978
21013,21016,56,MDB_HOSPITAL_FLOW_METHOD_1.0,979
21011,21011,10,MDB_HOSPITAL_FLOW_METHOD_1.0,980
21011,21016,62,MDB_HOSPITAL_FLOW_METHOD_1.0,981
21018,21016,18,MDB_HOSPITAL_FLOW_METHOD_1.0,982
21003,21003,12,MDB_HOSPITAL_FLOW_METHOD_1.0,983
21003,21016,15,MDB_HOSPITAL_FLOW_METHOD_1.0,984
21015,22004,29,MDB_HOSPITAL_FLOW_METHOD_1.0,986
21004,21016,95,MDB_HOSPITAL_FLOW_METHOD_1.0,988
21013,21016,115,MDB_HOSPITAL_FLOW_METHOD_1.0,991
21009,21016,7,MDB_HOSPITAL_FLOW_METHOD_1.0,992
21014,21016,8,MDB_HOSPITAL_FLOW_METHOD_1.0,995
21011,21016,52,MDB_HOSPITAL_FLOW_METHOD_1.0,996
