flow_version,health_region_code,total_admissions,within_region_share,outflow_share,cross_state_outflow_share,nonsuppressed_destinations,unit
MDB_HOSPITAL_FLOW_METHOD_1.0,31001,667,0.54872563718140932,0.45127436281859068,0.010494752623688156,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31002,396,0.14141414141414141,0.85858585858585856,0.042929292929292928,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31003,282,0.69503546099290781,0.30496453900709219,0.028368794326241134,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31004,154,0.12987012987012986,0.87012987012987009,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31006,337,0.60534124629080122,0.39465875370919884,0.017804154302670624,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31007,1667,0.79304139172165566,0.20695860827834434,0.014997000599880024,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31008,880,0.54090909090909089,0.45909090909090911,0.025000000000000001,6,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31009,351,0.97150997150997154,0.028490028490028491,0.017094017094017096,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31010,74,,,0.10810810810810811,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31011,426,0.93896713615023475,0.061032863849765258,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31012,337,0.16023738872403562,0.83976261127596441,,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31013,2067,0.98113207547169812,0.018867924528301886,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31015,540,0.29814814814814816,0.70185185185185184,0,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31016,3039,0.93649226719315559,0.063507732806844353,0.018427114182296808,10,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31017,618,0.41262135922330095,0.58737864077669899,0.035598705501618123,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31018,567,0.52557319223985888,0.47442680776014107,0.017636684303350969,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31019,310,0.85161290322580641,0.14838709677419354,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31020,153,0.75816993464052285,0.24183006535947713,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31021,962,0.89708939708939706,0.10291060291060292,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31022,383,0.91122715404699739,0.08877284595300261,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31023,220,0.59545454545454546,0.40454545454545454,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31024,1407,0.90831556503198296,0.091684434968017064,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31025,709,0.51480959097320167,0.48519040902679833,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31026,680,0.88235294117647056,0.11764705882352941,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31027,1192,0.9563758389261745,0.043624161073825503,0,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31028,568,0.93133802816901412,0.068661971830985921,0,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31030,242,0.73966942148760328,0.26033057851239672,0.024793388429752067,7,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31031,83,0.20481927710843373,0.79518072289156627,0,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31032,262,0.31679389312977096,0.68320610687022898,,7,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31034,938,0.95842217484008529,0.041577825159914712,0,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31035,349,0.63037249283667618,0.36962750716332377,,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31036,902,0.93902439024390238,0.06097560975609756,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31037,2322,0.9732988802756245,0.026701119724375538,0.0030146425495262705,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31038,96,0.83333333333333337,0.16666666666666666,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,31040,461,0.91973969631236441,0.080260303687635579,0.010845986984815618,2,AIHs/admissions; not unique patients
