release_id,peer_method_version,health_region_code,peer_health_region_code,peer_rank,structural_distance
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,13004,8,0.76814301152856757
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,50014,9,0.81402052121963842
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15004,21017,10,0.82758445801723968
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,43010,1,0.42248767406289128
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,21016,2,0.48300874518657655
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,24007,3,0.50681814468057329
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,33006,4,0.64804544440815726
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,35015,5,0.98966088651255657
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,35014,6,0.99437342993039091
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,35041,7,1.0526694895005611
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,35013,8,1.0647415295080527
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,35073,9,1.1722290844432404
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15006,29020,10,1.2599229797942966
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15007,29018,1,0.26565972098846358
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15007,31072,2,0.31771114750268947
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15007,29024,3,0.33812169603148901
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15007,26007,4,0.37546358464651142
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,15007,29009,5,0.41236297763648472
